inds.id life.sg.status ages mf FP MP year year_samp
EE_164 SA 2 1 Z_296 BB_804 2009 2010
EE_175 SA 2 1 BB_335 AA_44 2009 2010
EE_221 SA 2 0 AA_179 AA_376 2009 2010
EE_267 SA 2 0 Q_1107 AA_705 2009 2010
EE_280 SA 2 0 Z_425 AA_799 2009 2010
EE_307 SA 2 0 BB_129 Z_147 2009 2010
EE_331 SA 2 1 V_2 Z_357 2009 2010
EE_350 SA 2 0 U_227 Z_539 2009 2010
EE_431 SA 2 1 V_403 Y_395 2009 2010
EE_445 SA 2 1 BB_530 Y_510 2009 2010
EE_454 SA 2 1 BB_688 Y_540 2009 2010
EE_556 SA 2 1 A9459 W_831 2009 2010
EE_618 SA 2 1 BB_653 U_694 2009 2010
EE_665 SA 2 1 N_639 S_675 2009 2010
DD_8 A 3 0 X_610 AA_16 2008 2010
DD_11 A 3 0 W_959 AA_30 2008 2010
DD_107 A 3 0 X_782 AA_520 2008 2010
DD_128 A 3 0 Y_300 AA_653 2008 2010
DD_144 A 3 1 V_504 AA_710 2008 2010
DD_161 A 3 1 Z_244 AA_800 2008 2010
DD_343 A 3 1 Z_795 Y_246 2008 2010
DD_383 A 3 1 T_1069 Y_539 2008 2010
DD_548 A 3 0 T_1145 V_95 2008 2010
DD_561 A 3 1 AA_584 V_352 2008 2010
DD_599 A 3 1 X_848 U_162 2008 2010
DD_622 A 3 1 W_748 U_989 2008 2010
DD_666 A 3 1 AA_97 S_264 2008 2010
DD_679 A 3 0 AA_142 S_1205 2008 2010
DD_696 A 3 0 Y_144 Q_56 2008 2010
DD_722 A 3 0 Z_209 O_412 2008 2010
CC_12 A 4 1 Z_135 Z_55 2007 2010
CC_48 A 4 0 U_1047 Z_217 2007 2010
CC_60 A 4 1 V_714 Z_267 2007 2010
CC_70 A 4 0 P_1347 Z_335 2007 2010
CC_128 A 4 0 Y_356 Z_648 2007 2010
CC_197 A 4 0 X_843 Y_90 2007 2010
CC_206 A 4 0 Y_548 Y_125 2007 2010
CC_212 A 4 0 Z_620 Y_160 2007 2010
CC_234 A 4 0 V_322 Y_274 2007 2010
CC_279 A 4 0 T_402 Y_537 2007 2010
CC_315 A 4 1 X_517 Y_831 2007 2010
CC_316 A 4 0 P_56 Y_840 2007 2010
CC_332 A 4 0 X_3 X_32 2007 2010
CC_353 A 4 1 U_644 X_266 2007 2010
CC_492 A 4 0 Y_870 W_898 2007 2010
CC_499 A 4 0 Y_508 W_961 2007 2010
CC_618 A 4 0 Y_745 T_129 2007 2010
CC_669 A 4 1 X_428 S_381 2007 2010
BB_115 A 5 0 Y_867 Y_522 2006 2010
BB_164 A 5 0 Y_50 Y_744 2006 2010
BB_254 A 5 1 S_1048 X_494 2006 2010
BB_434 A 5 0 Y_914 W_1008 2006 2010
BB_461 A 5 1 R_289 V_222 2006 2010
BB_463 A 5 0 X_218 V_254 2006 2010
BB_653 A 5 0 N_844 S_147 2006 2010
BB_669 A 5 0 T_430 S_491 2006 2010
BB_691 A 5 1 P_1137 S_1205 2006 2010
BB_766 A 5 1 U_339 O_173 2006 2010
BB_772 A 5 1 V_763 O_1374 2006 2010
BB_785 A 5 0 X_525 N_1237 2006 2010
AA_31 A 6 1 N_579 X_142 2005 2010
AA_103 A 6 1 T_684 X_536 2005 2010
AA_504 A 6 0 R_352 U_386 2005 2010
AA_515 A 6 1 P_518 U_573 2005 2010
AA_617 A 6 0 N_1289 T_954 2005 2010
AA_693 A 6 0 Q_328 R_74 2005 2010
AA_731 A 6 0 U_641 Q_371 2005 2010
AA_848 A 6 1 V_29 A6641 2005 2010
Z_18 A 7 1 U_434 W_63 2004 2010
Z_102 A 7 1 W_389 W_509 2004 2010
Z_178 A 7 0 W_830 W_828 2004 2010
Z_241 A 7 0 M_608 V_60 2004 2010
Z_345 A 7 0 V_143 V_696 2004 2010
Z_357 A 7 1 V_466 V_758 2004 2010
Z_380 A 7 0 W_405 V_996 2004 2010
Z_404 A 7 1 P_55 U_168 2004 2010
Z_413 A 7 1 U_483 U_271 2004 2010
Z_625 A 7 0 U_522 S_381 2004 2010
Z_626 A 7 0 V_274 S_383 2004 2010
Z_636 A 7 0 R_772 S_582 2004 2010
Z_738 A 7 0 V_492 Q_678 2004 2010
Z_805 A 7 1 T_868 O_1377 2004 2010
Y_16 A 8 0 Q_547 V_67 2003 2010
Y_224 A 8 1 V_911 U_98 2003 2010
Y_273 A 8 0 S_1151 U_441 2003 2010
Y_664 A 8 1 U_274 R_1079 2003 2010
X_303 A 9 0 T_555 T_665 2002 2010
X_363 A 9 0 S_837 T_1013 2002 2010
X_442 A 9 1 R_348 S_383 2002 2010
X_609 A 9 1 U_838 R_940 2002 2010
X_670 A 9 1 U_214 Q_735 2002 2010
W_621 A 10 0 T_202 Q_371 2001 2010
V_46 A 11 0 S_385 S_227 2000 2010
V_132 A 11 0 R_1097 S_590 2000 2010
U_859 A 12 1 O_1326 L_296 1999 2010
T_78 A 13 0 N_844 Q_366 1998 2010
T_109 A 13 0 Q_14 Q_528 1998 2010
R_696 A 15 1 O_1069 L_355 1996 2010
Q_476 A 16 1 M_1004 E_1102 1995 2010
Q_794 A 16 1 K_780 M_1387 1995 2010
O_1131 A 18 0 G_1875 C_1399 1993 2010
N_896 A 19 1 C_324 H_1349 1992 2010
K_360 A 22 1 D_1485 H_1825 1989 2010
K_1642 A 22 1 A6905 A8288 1989 2010
GG_1 J 1 1 J_239 DD_2 2011 2011
GG_31 J 1 0 DD_677 DD_155 2011 2011
GG_85 J 1 0 DD_119 DD_378 2011 2011
GG_106 J 1 0 BB_55 DD_497 2011 2011
GG_108 J 1 0 CC_578 DD_508 2011 2011
GG_149 J 1 1 DD_98 DD_700 2011 2011
GG_151 J 1 0 X_290 DD_703 2011 2011
GG_159 J 1 1 DD_270 DD_745 2011 2011
GG_180 J 1 0 X_900 CC_93 2011 2011
GG_218 J 1 1 AA_652 CC_427 2011 2011
GG_257 J 1 1 CC_701 CC_724 2011 2011
GG_282 J 1 1 Y_248 BB_205 2011 2011
GG_314 J 1 0 DD_570 BB_533 2011 2011
GG_323 J 1 0 CC_127 BB_566 2011 2011
GG_345 J 1 1 U_372 BB_775 2011 2011
GG_359 J 1 1 DD_281 AA_86 2011 2011
GG_402 J 1 0 AA_303 AA_674 2011 2011
GG_406 J 1 0 CC_780 AA_751 2011 2011
GG_412 J 1 0 AA_797 AA_820 2011 2011
GG_422 J 1 0 Z_69 Z_51 2011 2011
GG_423 J 1 1 Y_81 Z_55 2011 2011
GG_474 J 1 0 CC_242 Z_893 2011 2011
GG_476 J 1 0 Y_288 Y_28 2011 2011
GG_521 J 1 1 DD_129 Y_840 2011 2011
GG_530 J 1 1 DD_574 X_442 2011 2011
GG_592 J 1 1 AA_25 U_93 2011 2011
GG_593 J 1 0 CC_19 U_162 2011 2011
GG_608 J 1 0 Z_784 T_40 2011 2011
GG_624 J 1 1 CC_733 S_956 2011 2011
GG_639 J 1 1 DD_639 O_412 2011 2011
FF_3 SA 2 1 CC_113 CC_4 2010 2011
FF_9 SA 2 0 Y_296 CC_27 2010 2011
FF_20 SA 2 0 CC_728 CC_60 2010 2011
FF_27 SA 2 0 CC_274 CC_93 2010 2011
FF_32 SA 2 1 CC_703 CC_117 2010 2011
FF_82 SA 2 1 BB_794 CC_465 2010 2011
FF_83 SA 2 1 Z_443 CC_479 2010 2011
FF_160 SA 2 1 Y_548 BB_127 2010 2011
FF_214 SA 2 1 AA_797 BB_533 2010 2011
FF_231 SA 2 1 X_290 BB_603 2010 2011
FF_290 SA 2 1 AA_129 AA_189 2010 2011
FF_300 SA 2 1 CC_161 AA_241 2010 2011
FF_323 SA 2 1 U_402 AA_464 2010 2011
FF_338 SA 2 1 Y_384 AA_595 2010 2011
FF_359 SA 2 1 AA_343 AA_814 2010 2011
FF_362 SA 2 0 CC_167 AA_831 2010 2011
FF_365 SA 2 1 Q_640 Z_9 2010 2011
FF_388 SA 2 1 CC_520 Z_332 2010 2011
FF_391 SA 2 0 Z_54 Z_356 2010 2011
FF_417 SA 2 1 Y_106 Z_632 2010 2011
FF_441 SA 2 1 Z_522 Y_48 2010 2011
FF_452 SA 2 0 T_1050 Y_150 2010 2011
FF_529 SA 2 0 Z_296 W_132 2010 2011
FF_535 SA 2 1 Y_307 W_393 2010 2011
FF_538 SA 2 1 Q_1107 W_501 2010 2011
FF_576 SA 2 1 Y_870 V_1060 2010 2011
FF_592 SA 2 0 Z_50 U_836 2010 2011
FF_593 SA 2 1 CC_182 U_859 2010 2011
FF_613 SA 2 1 Z_626 T_1013 2010 2011
FF_620 SA 2 1 CC_369 S_543 2010 2011
FF_630 SA 2 0 CC_189 R_1138 2010 2011
FF_654 SA 2 0 V_46 K_360 2010 2011
EE_12 A 3 0 AA_562 BB_91 2009 2011
EE_62 A 3 1 BB_586 BB_345 2009 2011
EE_100 A 3 0 AA_129 BB_537 2009 2011
EE_120 A 3 0 V_466 BB_615 2009 2011
EE_131 A 3 1 W_966 BB_692 2009 2011
EE_145 A 3 1 Q_367 BB_744 2009 2011
EE_173 A 3 1 Z_655 AA_32 2009 2011
